2026-08-05 11:48:02.819 [INFO] Temp file cleanup script started.
2026-08-05 11:48:02.819 [INFO] Mode: DryRun
2026-08-05 11:48:02.819 [INFO] DaysOld cutoff: 0
2026-08-05 11:48:03.068 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\cup.exe.ignore
2026-08-05 11:48:03.068 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\redirects\RefreshEnv.cmd
2026-08-05 11:48:03.068 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.dll.manifest
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe.ignore
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7z.exe.manifest
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\7zip.license.txt
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe
2026-08-05 11:48:03.084 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe.config
2026-08-05 11:48:03.100 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.exe.ignore
2026-08-05 11:48:03.100 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\checksum.license.txt
2026-08-05 11:48:03.100 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.exe
2026-08-05 11:48:03.100 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.exe.ignore
2026-08-05 11:48:03.100 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\tools\shimgen.license.txt
2026-08-05 11:48:03.115 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\_rels\.rels
2026-08-05 11:48:03.115 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\vscode.install\1.131.0\install.log
2026-08-05 11:48:03.115 [INFO] [DRY-RUN] Would delete: C:\Windows\Temp\chocolatey\vscode.install\1.131.0\VSCodeSetup-x64-1.131.0.exe
2026-08-05 11:48:03.115 [INFO] Cleanup run complete.
2026-08-05 11:48:03.115 [INFO] Scanned items: 99
2026-08-05 11:48:03.115 [INFO] Eligible items: 99
2026-08-05 11:48:03.115 [INFO] Files deleted or restored: 0
2026-08-05 11:48:03.115 [INFO] Locked or in-use items skipped: 0
2026-08-05 11:48:03.131 [INFO] Missing or unavailable items skipped: 0
2026-08-05 11:48:03.131 [INFO] Errors: 0
