2026-08-05 11:47:58.134 [INFO] Temp file cleanup script started.
2026-08-05 11:47:58.134 [INFO] Mode: Rollback
2026-08-05 11:47:58.577 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1
2026-08-05 11:47:58.593 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1
2026-08-05 11:47:58.600 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1
2026-08-05 11:47:58.609 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1
2026-08-05 11:47:58.609 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1
2026-08-05 11:47:58.609 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1
2026-08-05 11:47:58.624 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1
2026-08-05 11:47:58.631 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1
2026-08-05 11:47:58.640 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1
2026-08-05 11:47:58.640 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1
2026-08-05 11:47:58.656 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1
2026-08-05 11:47:58.663 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1
2026-08-05 11:47:58.672 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1
2026-08-05 11:47:58.672 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1
2026-08-05 11:47:58.688 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1
2026-08-05 11:47:58.694 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1
2026-08-05 11:47:58.704 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyZipPackage.ps1
2026-08-05 11:47:58.704 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-Vsix.ps1
2026-08-05 11:47:58.704 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-EnvironmentVariable.ps1
2026-08-05 11:47:58.740 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-PowerShellExitCode.ps1
2026-08-05 11:47:58.751 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Start-ChocolateyProcessAsAdmin.ps1
2026-08-05 11:47:58.762 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Test-ProcessAdminRights.ps1
2026-08-05 11:47:58.772 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-BinFile.ps1
2026-08-05 11:47:58.782 [SUCCESS] Restored file: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Uninstall-ChocolateyEnvironmentVariable.ps1
